author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
普鲁士ll,18460,173364,642274,50314054,83487,17,全站,11428,8032443,111595,"瘦身塑形,减肥,美丽芭蕾,瘦腿,健身",瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,8097648
崩坏3第一偶像爱酱,602768,115389,282875,92252043,471920,16,全站,39477,8208924,108879,"手机游戏,琪亚娜,姬子,天穹流星,miHoYo,Starfall,米哈游,原创动画,袁娅维,崩坏3",《崩坏3》动画短片「天穹流星」,3995314
废柴家里蹲,53176,715157,1552825,3534854,225802,15,全站,100870,8292167,499871,"瘦身塑形,我已经是一只废鹅了,断翅系列,折翼鹅の逆袭,弹幕有毒,马了不会做系列,美丽芭蕾,Mary Helen Bowers,健身,减肥",【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,40767740
翘课迟到,402179,46810,328792,89558467,518347,14,全站,38900,8876742,227040,"翻唱,搞笑,处处吻,全民音乐UP主,搞笑翻唱,恶搞",处 处 零,4766193
大头大头哥哥,138224,6967,100707,87262159,201910,100,全站,2672,3159806,10423,"演奏,处处吻,钢琴,全民音乐UP主,LOSER,钢琴演奏,改编",B站就你敢这样弹《处处吻》前方高能，钢琴裁缝又叒叕来了！,2126300
红凛茶,70033,1393,38132,88465529,71454,100,动画,1596,1258520,3756,"技术宅,手机游戏,FGO,FATE,C4D,OCTANE,Fate",【给FATE做个三维片头会是什么样子】萌新UP爆肝20天渲染上百小时自制FATE开场动画,351200
浮尘微刃,14014,847,8262,82906512,21967,100,国创相关,609,200621,1362,"剑网3,网络游戏,侠肝义胆沈剑心,下山,全能打卡挑战,剑网三,国漫",【沈剑心】此去下山，混个大侠模样,352207
hanser,25068,2541,25060,89324326,49553,100,音乐,2972,943526,3033,"翻唱,ギガp,八王子p",GimmeXGimme 翻唱&MMDpv（hanserXtsukimi）,470400
pipi-萍萍,13734,871,5409,87892692,20442,100,舞蹈,1256,373321,968,"明星舞蹈,舞蹈,萍萍,口罩,只对你有感觉,情人节不隔离爱,时尚",【pipi-萍萍】只对你有感觉【提前祝大家情人节快乐】,262711
XingY5541,29725,5420,26232,91163196,75477,100,游戏,838,1083360,6884,"我的世界,标准结局,Minecraft,搞笑",某up竟连遇9次标准结局？(第一集),632970
小落伐,6436,2281,41875,90189280,23664,99,游戏,563,1083443,3739,"我的世界,YOUTUBE搬运,建筑,建筑教程,MC,MINECRAFT,现代别墅,小落伐,我的世界生存",[OSHACRA] 如何建造一个紧凑的现代别墅,273022
小黑课堂计算机二级,15235,38694,70721,22915519,23949,100,科技,2618,842306,13922,"计算机二级,小黑课堂,计算机,二级,公开课,教育,线上课堂,等级考试",小黑课堂计算机二级真题讲解,2995054
你认识张三吗,2276,3109,14434,90050714,35783,99,科技,1959,845716,23593,"学习,罗翔,公开课,法律,视频教程,律师,刑法,司法考试,厚大,法考",这不是淫秽物品，这是四六级复习材料,1141858
太冷咯,23,499,195,91928767,837,100,数码,943,283223,330,"数码,华为,测评,小米,体验,手机,p40pro",【华为P40pro】真机上手视频，屏下摄像头，全面屏，后置五摄，真香,337345
JF_枫零,28,155,238,91787959,697,99,数码,1190,283281,227,"数码,黑科技,安卓,三星,手机,屏幕",这应该是目前最好的屏幕了吧,332361
vivi可爱多,112379,7132,59778,90382831,147961,100,生活,18336,2048530,22514,"女性,生孩子,母亲,妈妈,健康,知识分享官,科普",我爱妈妈，但我不想成为妈妈！不生孩子是我自私吗？,1043843
席拉瑞丝,166343,39442,44872,91662776,271067,99,生活,17935,2077817,2990,"社会,压力,自制,生活记录,道歉,吐槽,生活",对不起，我真的累了，这次压力打败了我,2284232
Ximenbao,29014,2091,23712,89380209,45886,100,鬼畜,1500,851775,2809,"鬼畜,bilibili新星计划,逍遥散人,对王之王,散人,对联,周星驰,唐伯虎点秋香,踩点",【核能踩点】对 王 之 王 逍 遥 散 人,318949
宝剑嫂,41143,93662,15480,92667984,69421,100,时尚,9290,789809,1946,"美妆,仙女来集合,化妆品,收纳,种草,时尚,美妆博主,化妆间,分享,产品",惊！你绝对不知道女生的化妆间到底多恐怖！,476509
美剧头条菌,15136,2444,64356,76862428,68924,62,娱乐,1188,685867,59648,"综艺,SNL,周六夜现场,搞笑,中字",【SNL中字】会发出XX声的番茄酱,1584897
一个只想打游戏的懒狗,13401,1061,44500,82859057,46491,100,影视,713,808362,3703,"影视混剪,暗黑,电影,美剧,少女,萝莉,电影剪辑,影视剪影,混剪,视频剪辑,剪辑,颜值",[欧美暗黑少女混剪]你该如我想象般完美,430993
轩邈Elias,48245,16236,20755,93456433,66258,99,影视,9702,813708,11587,"227大团结,肖战,AO3,老福特,LOFTER,举报,饭圈,粉丝",被nc粉丝拖下水的肖战，有错吗？,458863
布兜大师,115916,25895,255452,52761403,174191,98,影视,9856,814635,30447,"创作新秀奖,励志,高考,正能量,努力,感人,梦想,成长,高考应援,北上广,感动",最强催泪：人，为什么要努力,4001105
开心嘴炮,31691,13949,8921,86728615,78131,97,影视,4305,815327,6110,"影评,宋茜,下一站是幸福,宋威龙,影视鉴评挑战,开心嘴炮,爱情,搞笑,吐槽,剧评杂谈,王耀庆",明知狗血依然上头！《下一站是幸福》诠释爱真的需要勇气,989854
有道精品课,50492,30541,178601,46920253,107889,96,影视,7466,817659,32012,"影视混剪,高考,干杯！校园季,大学,校园,青春,剪辑,混剪,影视剪辑",50+所大学超燃视频混剪，一个人的战斗总要有个结果,2117916
酒神杯子,6465,657,25797,87809693,22589,95,影视,411,819465,2295,"艾玛沃特森,克里斯汀,塞隆,斯嘉丽,妮可基德曼,伊娃格林,莉莉柯林斯,阿曼达,萝卜达",【性感美学】人间尤物 (欧美篇),323248
温豆腐酱,6160,1031,22490,86576296,32466,94,影视,485,825510,2351,"杨紫,香蜜沉沉烬如霜,知否,婚礼,如懿传,结爱·千岁大人的初恋,古装女子群像,影视剪影,虐,古装嫁衣",【“唢呐一响 不是大喜 就是大悲”】或囍或悲,498622
打死某五分之一,14394,244,34453,86065667,15642,93,影视,1078,826540,1203,"bilibili新星计划,经典,推理,烧脑,国产,侦探,科普,读书,阅读,推理小说",真·推理小说推荐！8本高能推理伴你度过漫漫假期！,262760
犬来八荒w,63991,5468,31526,17514075,100173,92,影视,3558,831953,9608,短片,犬来八荒| 川西旅拍视频,1691420
话很多的小姐姐们,18822,4488,16522,87445315,40165,91,影视,1760,832611,10129,"影评,许光汉,影视鉴评挑战,穿越,解说,爱情,悬疑,台剧,柯佳嬿,想见你,施柏宇",【小姐姐们】超强干货，高分反转剧《想见你》不得不看的硬核分析（第二期）,745117
趣频的搬运工,5191,5504,17779,88893094,21109,90,影视,3200,849862,11036,"人民的名义,湖北",【湖北恩施辞职县委书记说：你们看过的所有官场小说，都没我的经历精彩】,775569
TWORED_,19097,992,28345,89063708,26120,89,影视,718,853390,6869,"想见你,李子维,许光汉,柯佳嬿,情人节一起嗑CP,爱情",【许光汉×柯佳嬿】双声道 催泪台词向 | 坠落星空｜千万个时间线里，我还是等到了你 | “只有当你想见我的时候，我们的相遇才有意义”,261137
