coin,danmaku,favorite,like,reply,score,share,view,genre
203800.29,32122.61,151695.57,259045.78,7149.47,2367021.87,30353.37,3315264.73,动画
28905.24,7861.83,27204.48,52957.04,2046.38,536001.56,4880.01,749137.97,国创相关
33153.34,37871.32,35619.46,67268.5,4080.3,838730.44,11600.78,1572341.08,娱乐
78447.63,11132.38,77955.99,124630.98,3797.84,1616679.43,20882.97,1495153.1,影视
26354.31,7300.77,23667.97,35961.16,3231.3,680086.03,7153.84,651900.89,数码
28118.19,26585.9,166308.82,57680.14,5660.04,1984510.3,27229.33,2219163.1,时尚
127562.6,20251.81,71838.18,179499.4,4055.0,1878074.12,19344.68,2109455.57,游戏
234312.67,27392.12,146080.67,336996.16,10067.57,3291853.56,62053.65,3972754.31,生活
99991.14,45240.92,132701.11,130498.58,5719.56,1714264.65,29298.34,2030077.28,科技
30836.05,7858.24,51460.8,61367.75,2671.45,790800.29,23367.91,1887781.56,舞蹈
136023.99,32478.38,123263.73,183263.85,12454.16,1858016.26,39330.94,2676780.75,音乐
204412.22,28699.99,150779.2,260301.24,7379.86,2013310.52,68967.38,4119274.93,鬼畜
